_id,Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,Population,PopulationQF,Dose,DoseQF,NumberVaccinated,NumberVaccinatedQF,PercentCoverage,PercentCoverageQF,CumulativeNumberVaccinated,CumulativeNumberVaccinatedQF,CumulativePercentCoverage,CumulativePercentCoverageQF
1,20201208,S92000003,Female,"",18 - 29,"",420588,"",Dose 1,"",178,"",0.042321701998155,"",178,"",0.042321701998155,""
2,20201208,S92000003,Female,"",18 - 29,"",420588,"",Dose 2,"",0,"",0,"",0,"",0,""
3,20201208,S92000003,Female,"",30 - 39,"",366726,"",Dose 1,"",293,"",0.0798961622573802,"",293,"",0.0798961622573802,""
4,20201208,S92000003,Female,"",30 - 39,"",366726,"",Dose 2,"",0,"",0,"",0,"",0,""
5,20201208,S92000003,Female,"",40 - 49,"",349288,"",Dose 1,"",389,"",0.111369414351481,"",389,"",0.111369414351481,""
6,20201208,S92000003,Female,"",40 - 49,"",349288,"",Dose 2,"",0,"",0,"",0,"",0,""
7,20201208,S92000003,Female,"",50 - 54,"",207150,"",Dose 1,"",238,"",0.114892589910693,"",238,"",0.114892589910693,""
8,20201208,S92000003,Female,"",50 - 54,"",207150,"",Dose 2,"",0,"",0,"",0,"",0,""
9,20201208,S92000003,Female,"",55 - 59,"",202348,"",Dose 1,"",249,"",0.123055330420859,"",249,"",0.123055330420859,""
10,20201208,S92000003,Female,"",55 - 59,"",202348,"",Dose 2,"",0,"",0,"",0,"",0,""
11,20201208,S92000003,Female,"",60 - 64,"",177841,"",Dose 1,"",118,"",0.06635140378203,"",118,"",0.06635140378203,""
12,20201208,S92000003,Female,"",60 - 64,"",177841,"",Dose 2,"",0,"",0,"",0,"",0,""
13,20201208,S92000003,Female,"",65 - 69,"",154984,"",Dose 1,"",25,"",0.0161306973623084,"",25,"",0.0161306973623084,""
14,20201208,S92000003,Female,"",65 - 69,"",154984,"",Dose 2,"",0,"",0,"",0,"",0,""
15,20201208,S92000003,Female,"",70 - 74,"",146517,"",Dose 1,"",4,"",0.00273005862800904,"",4,"",0.00273005862800904,""
16,20201208,S92000003,Female,"",70 - 74,"",146517,"",Dose 2,"",0,"",0,"",0,"",0,""
17,20201208,S92000003,Female,"",75 - 79,"",108065,"",Dose 1,"",0,"",0,"",0,"",0,""
18,20201208,S92000003,Female,"",75 - 79,"",108065,"",Dose 2,"",0,"",0,"",0,"",0,""
19,20201208,S92000003,Female,"",80 years and over,d,165153,"",Dose 1,"",1,"",0.000605499143218712,"",1,"",0.000605499143218712,""
20,20201208,S92000003,Female,"",80 years and over,d,165153,"",Dose 2,"",0,"",0,"",0,"",0,""
21,20201208,S92000003,Male,"",18 - 29,"",427624,"",Dose 1,"",37,"",0.00865246104054029,"",37,"",0.00865246104054029,""
22,20201208,S92000003,Male,"",18 - 29,"",427624,"",Dose 2,"",0,"",0,"",0,"",0,""
23,20201208,S92000003,Male,"",30 - 39,"",355259,"",Dose 1,"",83,"",0.0233632363993593,"",83,"",0.0233632363993593,""
