Code,Council,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S92000003,Scotland,"5,180,200","5,164,540","5,148,120","5,138,880","5,127,890","5,111,760","5,099,020","5,077,440","5,078,190","5,081,270","5,083,330","5,085,620","5,092,460","5,102,210","5,103,690","5,092,190","5,083,340","5,077,070","5,071,950","5,062,940","5,064,200","5,066,000","5,068,500","5,084,300","5,110,200","5,133,000","5,170,000","5,202,900","5,231,900","5,262,200","5,299,900","5,313,600","5,327,700","5,347,600","5,373,000","5,404,700","5,424,800","5,438,100","5,463,300","5,466,000"
S12000033,Aberdeen City,"212,494","213,260","214,400","214,560","215,450","217,080","214,080","212,140","212,510","212,870","214,120","216,140","218,250","219,500","219,880","218,350","217,300","215,650","214,630","213,340","211,910","210,680","209,280","207,820","208,690","209,630","212,470","214,020","217,020","219,730","222,460","224,910","227,070","228,920","230,350","229,840","228,800","227,560","228,670","229,060"
S12000034,Aberdeenshire,"188,923","192,540","195,210","198,460","201,140","202,600","204,970","205,970","209,870","211,920","215,870","219,970","223,100","225,560","226,070","226,990","226,020","226,220","227,240","227,020","226,940","228,830","231,250","234,690","237,570","241,180","244,390","246,830","249,020","251,430","253,650","255,560","257,770","260,530","261,960","262,190","261,800","261,470","261,210","260,780"
S12000041,Angus,"105,615","105,270","105,680","105,510","105,950","105,780","106,020","106,150","106,740","107,610","108,400","109,900","110,910","111,550","111,560","110,570","110,000","109,790","109,560","108,850","108,370","108,810","108,700","110,170","111,340","112,500","113,540","114,490","114,830","115,410","116,200","116,220","116,290","116,740","116,900","116,520","116,280","116,040","116,200","115,820"
S12000035,Argyll and Bute,"90,948","90,950","91,810","92,370","92,930","92,770","93,150","93,650","93,990","93,460","93,520","91,680","91,170","91,910","91,950","91,740","91,720","91,670","91,640","91,050","91,300","91,020","90,930","90,580","90,340","90,860","90,790","89,910","89,450","88,620","88,930","86,910","88,050","87,650","86,890","87,130","86,810","86,260","85,870","85,430"
S12000036,City of Edinburgh,"445,985","444,490","441,680","441,230","440,080","439,010","439,670","435,240","436,850","436,140","436,320","436,670","438,300","440,120","443,860","444,910","445,720","446,240","447,190","448,430","449,020","447,500","445,300","445,870","449,470","452,040","456,040","458,520","463,230","469,930","477,940","482,630","487,460","492,610","498,810","507,170","513,210","518,500","524,930","527,620"
S12000005,Clackmannanshire,"48,218","48,000","47,950","47,990","47,920","47,830","47,710","47,530","47,600","48,150","48,100","48,170","48,390","48,590","48,570","48,560","48,560","48,410","48,240","48,170","48,070","48,140","48,140","48,680","49,160","49,540","50,600","51,190","51,290","51,330","51,500","51,280","51,280","51,190","51,360","51,350","51,450","51,400","51,540","51,290"
S12000006,Dumfries and Galloway,"145,502","145,350","145,310","145,360","145,420","145,170","145,220","145,360","146,710","147,150","147,170","147,650","147,940","148,130","148,520","148,520","148,520","148,740","148,230","147,540","147,780","147,670","147,860","148,700","149,620","149,770","150,370","151,010","151,160","151,100","151,410","150,840","150,280","149,960","149,670","149,520","149,200","148,790","148,860","148,290"
S12000042,Dundee City,"169,581","168,200","165,440","163,500","162,020","160,180","159,170","157,350","155,820","155,910","155,550","154,960","154,000","152,200","152,460","152,200","151,350","149,680","147,970","146,610","145,460","144,370","144,080","143,100","143,600","143,360","143,700","144,290","145,170","146,060","147,200","147,780","148,100","148,130","148,210","148,270","148,710","148,750","149,320","148,820"
S12000008,East Ayrshire,"127,363","126,520","125,740","125,350","124,980","124,810","124,660","124,210","124,190","124,000","124,020","123,810","123,540","123,250","122,790","122,000","121,440","121,000","120,550","120,120","120,310","119,920","119,850","120,210","120,280","120,440","120,950","121,600","122,110","122,410","122,690","122,730","122,430","122,130","122,060","122,200","121,940","121,840","122,010","121,600"
S12000045,East Dunbartonshire,"109,684","110,180","110,700","111,080","111,340","111,000","111,060","110,710","110,530","110,440","110,170","109,680","109,270","109,540","109,850","109,300","109,280","109,040","108,670","108,620","108,250","107,350","107,000","106,540","106,040","105,590","105,050","104,940","104,960","104,920","105,000","105,880","105,840","106,710","106,960","107,540","108,130","108,330","108,640","108,750"
S12000010,East Lothian,"80,715","80,990","80,820","81,310","81,910","81,540","81,330","82,110","83,540","84,200","84,440","84,510","84,880","85,900","86,600","86,990","87,730","88,360","89,110","89,910","90,180","91,060","91,640","92,170","92,730","93,850","95,570","97,480","98,340","99,140","99,920","100,860","101,390","102,090","103,050","104,090","104,840","105,790","107,090","107,900"
S12000011,East Renfrewshire,"80,244","80,460","80,470","80,730","81,360","81,660","82,370","83,820","84,800","85,580","85,770","86,050","86,490","86,660","87,530","87,410","87,890","88,310","88,520","89,040","89,410","89,930","89,870","89,790","89,880","89,750","89,840","89,870","89,980","90,410","90,810","91,040","91,530","92,410","92,940","93,810","94,760","95,170","95,530","96,060"
S12000014,Falkirk,"145,146","144,580","143,970","143,700","143,340","142,900","142,950","142,750","142,470","142,660","142,500","142,400","142,240","142,280","142,680","143,040","143,340","143,880","144,570","144,650","145,270","145,920","146,800","148,300","150,130","151,090","152,320","153,290","154,210","155,130","156,250","156,800","157,160","157,690","158,460","159,380","160,130","160,340","160,890","160,560"
