Date,AgeGroup,DailyPositive,DailyDeaths,NumberVaccinated
2021-01-05,over 60,586,36,2313
2021-01-05,over 75,234,28,1068
2021-01-05,under 60,2108,4,7213
2021-01-06,over 75,185,36,1571
2021-01-06,over 60,491,46,3000
2021-01-06,under 60,1758,2,7885
2021-01-07,over 75,250,29,2069
2021-01-07,under 60,1428,2,7764
2021-01-07,over 60,528,42,3454
2021-01-08,over 60,354,38,3571
2021-01-08,over 75,167,27,2047
2021-01-08,under 60,1274,4,8284
2021-01-09,over 75,137,26,2004
2021-01-09,over 60,312,37,2590
2021-01-09,under 60,996,1,4177
2021-01-10,over 75,140,43,471
2021-01-10,over 60,324,56,817
2021-01-10,under 60,967,3,2014
2021-01-11,under 60,1379,4,7308
2021-01-11,over 60,497,44,4813
2021-01-11,over 75,221,31,3624
2021-01-12,under 60,1313,1,9651
2021-01-12,over 60,465,50,6951
2021-01-12,over 75,202,35,5339
2021-01-13,over 60,368,49,8249
2021-01-13,under 60,1160,2,9316
2021-01-13,over 75,164,33,6626
2021-01-14,over 60,308,52,9128
2021-01-14,under 60,1131,5,8700
2021-01-14,over 75,132,39,7483
2021-01-15,over 75,175,43,7777
2021-01-15,under 60,964,5,8096
2021-01-15,over 60,402,53,9208
2021-01-16,over 75,103,54,12204
2021-01-16,over 60,245,69,13521
2021-01-16,under 60,790,7,7867
2021-01-17,over 75,112,27,1949
2021-01-17,under 60,816,1,2428
2021-01-17,over 60,277,42,2331
2021-01-18,over 60,417,56,9987
2021-01-18,under 60,1157,7,8932
2021-01-18,over 75,162,45,8367
2021-01-19,over 60,321,67,15782
2021-01-19,under 60,1043,3,10519
2021-01-19,over 75,125,42,13850
2021-01-20,over 60,397,60,16089
2021-01-20,under 60,1020,6,10761
2021-01-20,over 75,194,48,13917
2021-01-21,over 60,289,53,14900
2021-01-21,under 60,822,4,9611
2021-01-21,over 75,132,40,13063
2021-01-22,under 60,814,5,9741
2021-01-22,over 60,296,62,14727
2021-01-22,over 75,139,51,12764
2021-01-23,over 60,226,51,20063
2021-01-23,under 60,626,2,7337
2021-01-23,over 75,98,39,18726
2021-01-24,over 75,82,48,4377
2021-01-24,over 60,204,65,5248
2021-01-24,under 60,558,5,3460
2021-01-25,over 75,155,37,12684
2021-01-25,over 60,326,50,14569
