Date,AgeGroup,DailyPositive,DailyDeaths,NumberVaccinated,DailyPositive_adj,DailyDeaths_adj,NumberVaccinated_adj
2021-01-05,over 60,586,36,2313,424,55,463
2021-01-05,over 75,234,28,1068,186,40,48
2021-01-05,under 60,2108,4,7213,2108,4,3087
2021-01-06,over 75,185,36,1571,183,43,186
2021-01-06,over 60,491,46,3000,407,57,1127
2021-01-06,under 60,1758,2,7885,1758,5,6753
2021-01-07,over 75,250,29,2069,166,43,414
2021-01-07,under 60,1428,2,7764,1428,5,10733
2021-01-07,over 60,528,42,3454,375,57,1950
2021-01-08,over 60,354,38,3571,382,58,2950
2021-01-08,over 75,167,27,2047,167,44,762
2021-01-08,under 60,1274,4,8284,1274,5,14842
2021-01-09,over 75,137,26,2004,162,42,1296
2021-01-09,over 60,312,37,2590,373,56,4218
2021-01-09,under 60,996,1,4177,996,4,19135
2021-01-10,under 60,967,3,2014,967,5,23521
2021-01-10,over 60,324,56,817,366,59,5568
2021-01-10,over 75,140,43,471,158,45,1870
2021-01-11,under 60,1379,4,7308,1379,4,28029
2021-01-11,over 60,497,44,4813,355,58,7001
2021-01-11,over 75,221,31,3624,150,44,2487
2021-01-12,under 60,1313,1,9651,1313,4,32835
2021-01-12,over 60,465,50,6951,334,56,8684
2021-01-12,over 75,202,35,5339,139,42,3285
2021-01-13,over 75,164,33,6626,143,41,4259
2021-01-13,under 60,1160,2,9316,1160,3,38002
2021-01-13,over 60,368,49,8249,338,55,10638
2021-01-14,over 60,308,52,9128,335,54,12803
2021-01-14,under 60,1131,5,8700,1131,3,43379
2021-01-14,over 75,132,39,7483,143,40,5384
2021-01-15,over 75,175,43,7777,138,39,6485
2021-01-15,under 60,964,5,8096,964,3,48253
2021-01-15,over 60,402,53,9208,320,53,14865
2021-01-16,under 60,790,7,7867,790,4,52280
2021-01-16,over 75,103,54,12204,137,38,7402
2021-01-16,over 60,245,69,13521,318,51,16568
2021-01-17,over 75,112,27,1949,133,36,8277
2021-01-17,under 60,816,1,2428,816,3,55945
2021-01-17,over 60,277,42,2331,307,48,18155
2021-01-18,over 60,417,56,9987,294,47,19695
2021-01-18,under 60,1157,7,8932,1157,4,59363
2021-01-18,over 75,162,45,8367,132,34,9152
2021-01-19,over 60,321,67,15782,286,45,20943
2021-01-19,under 60,1043,3,10519,1043,4,61955
2021-01-19,over 75,125,42,13850,133,35,9875
2021-01-20,over 60,397,60,16089,264,44,22003
2021-01-20,under 60,1020,6,10761,1020,3,64139
2021-01-20,over 75,194,48,13917,121,35,10505
2021-01-21,over 75,132,40,13063,120,33,11089
2021-01-21,under 60,822,4,9611,822,4,66069
2021-01-21,over 60,289,53,14900,258,41,22975
2021-01-22,under 60,814,5,9741,814,3,68136
2021-01-22,over 60,296,62,14727,245,40,24010
2021-01-22,over 75,139,51,12764,113,30,11706
2021-01-23,over 60,226,51,20063,237,41,25046
2021-01-23,under 60,626,2,7337,626,3,70205
2021-01-23,over 75,98,39,18726,107,32,12322
2021-01-24,over 75,82,48,4377,107,33,12938
2021-01-24,over 60,204,65,5248,234,41,26082
2021-01-24,under 60,558,5,3460,558,2,72275
2021-01-25,over 75,155,37,12684,98,33,13540
2021-01-25,over 60,326,50,14569,223,41,27106
2021-01-25,under 60,840,2,8344,840,2,74342
2021-01-26,under 60,770,2,8074,770,2,76340
2021-01-26,over 60,265,50,18113,213,42,28181
2021-01-26,over 75,128,30,16374,91,32,14199
2021-01-27,over 60,245,57,23120,204,39,29278
2021-01-27,over 75,111,40,21170,85,31,14839
2021-01-27,under 60,752,3,7220,752,3,78596
2021-01-28,under 60,751,2,6605,751,2,81222
2021-01-28,over 60,243,44,21885,196,40,30458
2021-01-28,over 75,127,37,19951,76,31,15506
2021-01-29,over 60,208,54,21312,198,40,31912
2021-01-29,under 60,644,5,7044,644,2,84575
2021-01-29,over 75,88,45,18671,78,31,16338
2021-01-30,over 75,58,30,20763,75,28,17462
2021-01-30,under 60,519,6,4633,519,2,89108
2021-01-30,over 60,167,38,23099,191,37,33874
2021-01-31,under 60,539,4,1928,539,3,94236
2021-01-31,over 60,185,43,5187,183,36,36205
2021-01-31,over 75,80,31,4638,70,27,18873
2021-02-01,over 75,92,28,17845,67,25,20322
2021-02-01,over 60,247,40,29034,174,34,38615
2021-02-01,under 60,726,3,3609,726,3,99640
2021-02-02,over 60,194,39,34562,169,31,41552
2021-02-02,under 60,734,3,3907,734,3,106018
2021-02-02,over 75,80,35,20761,65,22,22158
2021-02-03,under 60,627,0,3995,627,2,112745
2021-02-03,over 60,186,48,40465,165,30,45152
2021-02-03,over 75,68,39,21497,65,21,24604
2021-02-04,over 60,182,28,45379,167,29,49501
2021-02-04,under 60,612,4,5167,612,3,119675
2021-02-04,over 75,66,21,23079,67,21,27772
2021-02-05,over 75,101,29,19413,63,21,31715
