Date,Council,NumberVaccinated,DailyPositive,DailyDeaths,Pop
2020-12-08,Clackmannanshire,66,23,0,51290
2020-12-08,Dumfries & Galloway,35,6,1,148290
2020-12-08,East Ayrshire,46,37,2,121600
2020-12-08,East Lothian,104,23,0,107900
2020-12-08,East Renfrewshire,13,21,1,96060
2020-12-08,Na h-Eileanan Siar,0,2,0,26500
2020-12-08,Falkirk,288,44,0,160560
2020-12-08,Highland,2,11,0,235430
2020-12-08,Inverclyde,5,9,0,77060
2020-12-08,Midlothian,129,17,1,93150
2020-12-08,Moray,1,3,0,95710
2020-12-08,North Ayrshire,48,32,2,134250
2020-12-08,Orkney Islands,0,0,0,22400
2020-12-08,Scottish Borders,54,9,0,115240
2020-12-08,Shetland Islands,0,0,0,22870
2020-12-08,South Ayrshire,29,22,1,112140
2020-12-08,South Lanarkshire,31,76,4,320820
2020-12-08,Stirling,175,28,0,94080
2020-12-08,Aberdeen City,11,33,0,229060
2020-12-08,Aberdeenshire,18,37,3,260780
2020-12-08,Argyll & Bute,1,4,0,85430
2020-12-08,City of Edinburgh,395,92,0,527620
2020-12-08,Renfrewshire,12,34,1,179390
2020-12-08,West Dunbartonshire,10,14,1,88340
2020-12-08,West Lothian,151,37,4,183820
2020-12-08,Angus,16,19,0,115820
2020-12-08,Dundee City,18,33,0,148820
2020-12-08,East Dunbartonshire,25,22,0,108750
2020-12-08,Fife,80,104,1,374130
2020-12-08,Perth & Kinross,26,19,1,151910
2020-12-08,Glasgow City,66,164,3,635640
2020-12-08,North Lanarkshire,37,71,2,341140
2020-12-09,Clackmannanshire,97,21,0,51290
2020-12-09,Dumfries & Galloway,68,8,0,148290
2020-12-09,East Ayrshire,137,26,2,121600
2020-12-09,East Lothian,177,26,0,107900
2020-12-09,East Renfrewshire,34,29,1,96060
2020-12-09,Na h-Eileanan Siar,0,2,0,26500
2020-12-09,Falkirk,388,17,0,160560
2020-12-09,Highland,59,6,0,235430
2020-12-09,Inverclyde,14,7,1,77060
2020-12-09,Midlothian,197,23,0,93150
2020-12-09,Moray,3,5,0,95710
2020-12-09,North Ayrshire,125,41,1,134250
2020-12-09,Orkney Islands,50,0,0,22400
2020-12-09,Scottish Borders,101,11,0,115240
2020-12-09,Shetland Islands,0,0,0,22870
2020-12-09,South Ayrshire,95,30,0,112140
2020-12-09,South Lanarkshire,77,64,5,320820
2020-12-09,Stirling,210,13,0,94080
2020-12-09,Aberdeen City,5,57,0,229060
2020-12-09,Aberdeenshire,1,44,0,260780
2020-12-09,Argyll & Bute,2,4,1,85430
