Date,Council,Positive_Cases_per_LA
2021-01-05,Aberdeen City,82
2021-01-05,Aberdeenshire,70
2021-01-05,Angus,33
2021-01-05,Argyll & Bute,11
2021-01-05,City of Edinburgh,133
2021-01-05,Clackmannanshire,18
2021-01-05,Dumfries & Galloway,68
2021-01-05,Dundee City,59
2021-01-05,East Ayrshire,49
2021-01-05,East Dunbartonshire,47
2021-01-05,East Lothian,16
2021-01-05,East Renfrewshire,29
2021-01-05,Falkirk,55
2021-01-05,Fife,111
2021-01-05,Glasgow City,338
2021-01-05,Highland,60
2021-01-05,Inverclyde,41
2021-01-05,Midlothian,17
2021-01-05,Moray,17
2021-01-05,Na h-Eileanan Siar,1
2021-01-05,North Ayrshire,58
2021-01-05,North Lanarkshire,181
2021-01-05,Orkney Islands,1
2021-01-05,Perth & Kinross,51
2021-01-05,Renfrewshire,84
2021-01-05,Scottish Borders,35
2021-01-05,Shetland Islands,3
2021-01-05,South Ayrshire,36
2021-01-05,South Lanarkshire,132
2021-01-05,Stirling,22
2021-01-05,West Dunbartonshire,35
2021-01-05,West Lothian,40
2021-01-06,Aberdeen City,80
2021-01-06,Aberdeenshire,63
2021-01-06,Angus,30
2021-01-06,Argyll & Bute,10
2021-01-06,City of Edinburgh,120
2021-01-06,Clackmannanshire,18
2021-01-06,Dumfries & Galloway,60
2021-01-06,Dundee City,57
2021-01-06,East Ayrshire,46
2021-01-06,East Dunbartonshire,45
2021-01-06,East Lothian,15
2021-01-06,East Renfrewshire,28
2021-01-06,Falkirk,52
2021-01-06,Fife,104
2021-01-06,Glasgow City,318
2021-01-06,Highland,61
2021-01-06,Inverclyde,39
2021-01-06,Midlothian,16
2021-01-06,Moray,15
2021-01-06,Na h-Eileanan Siar,2
2021-01-06,North Ayrshire,54
2021-01-06,North Lanarkshire,169
2021-01-06,Orkney Islands,1
2021-01-06,Perth & Kinross,47
2021-01-06,Renfrewshire,78
2021-01-06,Scottish Borders,32
2021-01-06,Shetland Islands,3
2021-01-06,South Ayrshire,36
2021-01-06,South Lanarkshire,122
2021-01-06,Stirling,18
2021-01-06,West Dunbartonshire,34
2021-01-06,West Lothian,41
2021-01-07,Aberdeen City,79
2021-01-07,Aberdeenshire,56
2021-01-07,Angus,28
2021-01-07,Argyll & Bute,11
2021-01-07,City of Edinburgh,109
2021-01-07,Clackmannanshire,18
2021-01-07,Dumfries & Galloway,61
2021-01-07,Dundee City,53
2021-01-07,East Ayrshire,47
2021-01-07,East Dunbartonshire,42
2021-01-07,East Lothian,16
2021-01-07,East Renfrewshire,24
2021-01-07,Falkirk,52
2021-01-07,Fife,97
2021-01-07,Glasgow City,308
2021-01-07,Highland,55
2021-01-07,Inverclyde,34
2021-01-07,Midlothian,14
2021-01-07,Moray,15
2021-01-07,Na h-Eileanan Siar,4
2021-01-07,North Ayrshire,54
2021-01-07,North Lanarkshire,158
2021-01-07,Orkney Islands,1
2021-01-07,Perth & Kinross,39
2021-01-07,Renfrewshire,77
2021-01-07,Scottish Borders,31
2021-01-07,Shetland Islands,3
2021-01-07,South Ayrshire,37
2021-01-07,South Lanarkshire,121
2021-01-07,Stirling,20
2021-01-07,West Dunbartonshire,32
2021-01-07,West Lothian,38
2021-01-08,Aberdeen City,79
2021-01-08,Aberdeenshire,55
2021-01-08,Angus,27
2021-01-08,Argyll & Bute,10
2021-01-08,City of Edinburgh,106
2021-01-08,Clackmannanshire,19
2021-01-08,Dumfries & Galloway,57
2021-01-08,Dundee City,49
2021-01-08,East Ayrshire,46
2021-01-08,East Dunbartonshire,40
2021-01-08,East Lothian,17
2021-01-08,East Renfrewshire,25
2021-01-08,Falkirk,51
2021-01-08,Fife,90
2021-01-08,Glasgow City,304
2021-01-08,Highland,50
2021-01-08,Inverclyde,30
2021-01-08,Midlothian,14
2021-01-08,Moray,13
2021-01-08,Na h-Eileanan Siar,4
2021-01-08,North Ayrshire,55
2021-01-08,North Lanarkshire,161
2021-01-08,Orkney Islands,0
2021-01-08,Perth & Kinross,37
2021-01-08,Renfrewshire,78
2021-01-08,Scottish Borders,27
2021-01-08,Shetland Islands,3
2021-01-08,South Ayrshire,37
2021-01-08,South Lanarkshire,118
2021-01-08,Stirling,19
2021-01-08,West Dunbartonshire,31
2021-01-08,West Lothian,39
2021-01-09,Aberdeen City,77
2021-01-09,Aberdeenshire,56
2021-01-09,Angus,26
2021-01-09,Argyll & Bute,9
2021-01-09,City of Edinburgh,104
2021-01-09,Clackmannanshire,20
2021-01-09,Dumfries & Galloway,56
2021-01-09,Dundee City,47
2021-01-09,East Ayrshire,45
2021-01-09,East Dunbartonshire,38
2021-01-09,East Lothian,17
2021-01-09,East Renfrewshire,25
2021-01-09,Falkirk,49
2021-01-09,Fife,89
2021-01-09,Glasgow City,294
2021-01-09,Highland,45
2021-01-09,Inverclyde,29
2021-01-09,Midlothian,13
2021-01-09,Moray,13
2021-01-09,Na h-Eileanan Siar,6
2021-01-09,North Ayrshire,54
2021-01-09,North Lanarkshire,154
2021-01-09,Orkney Islands,0
2021-01-09,Perth & Kinross,36
2021-01-09,Renfrewshire,76
2021-01-09,Scottish Borders,26
2021-01-09,Shetland Islands,3
2021-01-09,South Ayrshire,37
2021-01-09,South Lanarkshire,116
2021-01-09,Stirling,19
2021-01-09,West Dunbartonshire,30
2021-01-09,West Lothian,37
2021-01-10,Aberdeen City,76
2021-01-10,Aberdeenshire,53
2021-01-10,Angus,25
2021-01-10,Argyll & Bute,8
2021-01-10,City of Edinburgh,101
2021-01-10,Clackmannanshire,21
2021-01-10,Dumfries & Galloway,56
2021-01-10,Dundee City,43
2021-01-10,East Ayrshire,46
2021-01-10,East Dunbartonshire,38
2021-01-10,East Lothian,19
2021-01-10,East Renfrewshire,24
2021-01-10,Falkirk,48
2021-01-10,Fife,86
2021-01-10,Glasgow City,280
2021-01-10,Highland,41
2021-01-10,Inverclyde,31
2021-01-10,Midlothian,14
2021-01-10,Moray,17
2021-01-10,Na h-Eileanan Siar,6
2021-01-10,North Ayrshire,53
2021-01-10,North Lanarkshire,149
2021-01-10,Orkney Islands,1
2021-01-10,Perth & Kinross,34
2021-01-10,Renfrewshire,74
2021-01-10,Scottish Borders,23
2021-01-10,Shetland Islands,3
2021-01-10,South Ayrshire,36
2021-01-10,South Lanarkshire,117
2021-01-10,Stirling,21
2021-01-10,West Dunbartonshire,31
2021-01-10,West Lothian,37
2021-01-11,Aberdeen City,70
2021-01-11,Aberdeenshire,48
2021-01-11,Angus,27
2021-01-11,Argyll & Bute,7
2021-01-11,City of Edinburgh,97
2021-01-11,Clackmannanshire,21
2021-01-11,Dumfries & Galloway,52
2021-01-11,Dundee City,43
2021-01-11,East Ayrshire,46
2021-01-11,East Dunbartonshire,37
2021-01-11,East Lothian,19
2021-01-11,East Renfrewshire,23
2021-01-11,Falkirk,53
2021-01-11,Fife,82
2021-01-11,Glasgow City,267
2021-01-11,Highland,37
2021-01-11,Inverclyde,30
2021-01-11,Midlothian,16
2021-01-11,Moray,18
2021-01-11,Na h-Eileanan Siar,6
2021-01-11,North Ayrshire,51
2021-01-11,North Lanarkshire,143
2021-01-11,Orkney Islands,1
2021-01-11,Perth & Kinross,35
2021-01-11,Renfrewshire,74
2021-01-11,Scottish Borders,22
2021-01-11,Shetland Islands,3
2021-01-11,South Ayrshire,35
2021-01-11,South Lanarkshire,113
2021-01-11,Stirling,21
2021-01-11,West Dunbartonshire,29
2021-01-11,West Lothian,35
2021-01-12,Aberdeen City,62
2021-01-12,Aberdeenshire,44
2021-01-12,Angus,23
2021-01-12,Argyll & Bute,8
2021-01-12,City of Edinburgh,90
2021-01-12,Clackmannanshire,20
2021-01-12,Dumfries & Galloway,49
2021-01-12,Dundee City,44
2021-01-12,East Ayrshire,45
2021-01-12,East Dunbartonshire,37
2021-01-12,East Lothian,17
2021-01-12,East Renfrewshire,22
2021-01-12,Falkirk,51
2021-01-12,Fife,74
2021-01-12,Glasgow City,257
2021-01-12,Highland,32
2021-01-12,Inverclyde,28
2021-01-12,Midlothian,16
2021-01-12,Moray,18
2021-01-12,Na h-Eileanan Siar,7
2021-01-12,North Ayrshire,51
2021-01-12,North Lanarkshire,146
2021-01-12,Orkney Islands,1
2021-01-12,Perth & Kinross,32
2021-01-12,Renfrewshire,78
2021-01-12,Scottish Borders,21
2021-01-12,Shetland Islands,2
2021-01-12,South Ayrshire,34
2021-01-12,South Lanarkshire,106
2021-01-12,Stirling,20
2021-01-12,West Dunbartonshire,28
2021-01-12,West Lothian,37
2021-01-13,Aberdeen City,57
2021-01-13,Aberdeenshire,46
2021-01-13,Angus,26
2021-01-13,Argyll & Bute,8
2021-01-13,City of Edinburgh,88
2021-01-13,Clackmannanshire,19
2021-01-13,Dumfries & Galloway,47
2021-01-13,Dundee City,42
2021-01-13,East Ayrshire,47
2021-01-13,East Dunbartonshire,38
2021-01-13,East Lothian,17
2021-01-13,East Renfrewshire,23
2021-01-13,Falkirk,50
2021-01-13,Fife,72
2021-01-13,Glasgow City,256
2021-01-13,Highland,30
2021-01-13,Inverclyde,26
2021-01-13,Midlothian,16
2021-01-13,Moray,18
2021-01-13,Na h-Eileanan Siar,6
2021-01-13,North Ayrshire,48
2021-01-13,North Lanarkshire,146
2021-01-13,Orkney Islands,1
2021-01-13,Perth & Kinross,34
2021-01-13,Renfrewshire,75
2021-01-13,Scottish Borders,21
2021-01-13,Shetland Islands,2
2021-01-13,South Ayrshire,33
2021-01-13,South Lanarkshire,106
2021-01-13,Stirling,21
2021-01-13,West Dunbartonshire,29
2021-01-13,West Lothian,35
2021-01-14,Aberdeen City,54
2021-01-14,Aberdeenshire,44
2021-01-14,Angus,26
2021-01-14,Argyll & Bute,8
2021-01-14,City of Edinburgh,83
2021-01-14,Clackmannanshire,18
2021-01-14,Dumfries & Galloway,44
2021-01-14,Dundee City,39
2021-01-14,East Ayrshire,43
2021-01-14,East Dunbartonshire,37
2021-01-14,East Lothian,16
2021-01-14,East Renfrewshire,23
2021-01-14,Falkirk,47
2021-01-14,Fife,68
2021-01-14,Glasgow City,252
2021-01-14,Highland,28
2021-01-14,Inverclyde,24
2021-01-14,Midlothian,15
2021-01-14,Moray,17
2021-01-14,Na h-Eileanan Siar,4
2021-01-14,North Ayrshire,45
2021-01-14,North Lanarkshire,146
2021-01-14,Orkney Islands,1
2021-01-14,Perth & Kinross,32
2021-01-14,Renfrewshire,67
2021-01-14,Scottish Borders,22
2021-01-14,Shetland Islands,3
2021-01-14,South Ayrshire,32
2021-01-14,South Lanarkshire,108
2021-01-14,Stirling,18
2021-01-14,West Dunbartonshire,29
2021-01-14,West Lothian,35
2021-01-15,Aberdeen City,50
2021-01-15,Aberdeenshire,42
2021-01-15,Angus,26
2021-01-15,Argyll & Bute,8
2021-01-15,City of Edinburgh,83
2021-01-15,Clackmannanshire,17
2021-01-15,Dumfries & Galloway,39
2021-01-15,Dundee City,38
2021-01-15,East Ayrshire,41
2021-01-15,East Dunbartonshire,36
2021-01-15,East Lothian,15
2021-01-15,East Renfrewshire,23
2021-01-15,Falkirk,46
2021-01-15,Fife,63
2021-01-15,Glasgow City,243
