Date,Council,Deaths_per_LA
2021-01-05,Aberdeen City,2
2021-01-05,Aberdeenshire,2
2021-01-05,Angus,2
2021-01-05,Argyll & Bute,0
2021-01-05,City of Edinburgh,5
2021-01-05,Clackmannanshire,1
2021-01-05,Dumfries & Galloway,3
2021-01-05,Dundee City,1
2021-01-05,East Ayrshire,2
2021-01-05,East Dunbartonshire,1
2021-01-05,East Lothian,1
2021-01-05,East Renfrewshire,1
2021-01-05,Falkirk,1
2021-01-05,Fife,4
2021-01-05,Glasgow City,7
2021-01-05,Highland,2
2021-01-05,Inverclyde,2
2021-01-05,Midlothian,0
2021-01-05,Moray,0
2021-01-05,Na h-Eileanan Siar,0
2021-01-05,North Ayrshire,2
2021-01-05,North Lanarkshire,6
2021-01-05,Orkney Islands,0
2021-01-05,Perth & Kinross,4
2021-01-05,Renfrewshire,3
2021-01-05,Scottish Borders,1
2021-01-05,Shetland Islands,0
2021-01-05,South Ayrshire,1
2021-01-05,South Lanarkshire,3
2021-01-05,Stirling,1
2021-01-05,West Dunbartonshire,1
2021-01-05,West Lothian,1
2021-01-06,Aberdeen City,3
2021-01-06,Aberdeenshire,2
2021-01-06,Angus,2
2021-01-06,Argyll & Bute,0
2021-01-06,City of Edinburgh,5
2021-01-06,Clackmannanshire,1
2021-01-06,Dumfries & Galloway,3
2021-01-06,Dundee City,1
2021-01-06,East Ayrshire,2
2021-01-06,East Dunbartonshire,1
2021-01-06,East Lothian,1
2021-01-06,East Renfrewshire,0
2021-01-06,Falkirk,1
2021-01-06,Fife,4
2021-01-06,Glasgow City,7
2021-01-06,Highland,2
2021-01-06,Inverclyde,2
2021-01-06,Midlothian,0
2021-01-06,Moray,0
2021-01-06,Na h-Eileanan Siar,0
2021-01-06,North Ayrshire,3
2021-01-06,North Lanarkshire,5
2021-01-06,Orkney Islands,0
2021-01-06,Perth & Kinross,4
2021-01-06,Renfrewshire,2
2021-01-06,Scottish Borders,1
2021-01-06,Shetland Islands,0
2021-01-06,South Ayrshire,1
2021-01-06,South Lanarkshire,3
2021-01-06,Stirling,1
2021-01-06,West Dunbartonshire,1
2021-01-06,West Lothian,1
2021-01-07,Aberdeen City,3
2021-01-07,Aberdeenshire,3
2021-01-07,Angus,2
2021-01-07,Argyll & Bute,0
2021-01-07,City of Edinburgh,5
2021-01-07,Clackmannanshire,1
2021-01-07,Dumfries & Galloway,3
2021-01-07,Dundee City,1
2021-01-07,East Ayrshire,2
2021-01-07,East Dunbartonshire,1
2021-01-07,East Lothian,1
2021-01-07,East Renfrewshire,1
2021-01-07,Falkirk,2
2021-01-07,Fife,5
2021-01-07,Glasgow City,8
2021-01-07,Highland,2
2021-01-07,Inverclyde,1
2021-01-07,Midlothian,1
2021-01-07,Moray,1
2021-01-07,Na h-Eileanan Siar,0
2021-01-07,North Ayrshire,2
2021-01-07,North Lanarkshire,6
2021-01-07,Orkney Islands,0
2021-01-07,Perth & Kinross,3
2021-01-07,Renfrewshire,2
2021-01-07,Scottish Borders,1
2021-01-07,Shetland Islands,0
2021-01-07,South Ayrshire,1
2021-01-07,South Lanarkshire,3
2021-01-07,Stirling,1
2021-01-07,West Dunbartonshire,1
2021-01-07,West Lothian,1
2021-01-08,Aberdeen City,3
2021-01-08,Aberdeenshire,3
