Date,DailyPositive
2021-01-05,1934
2021-01-06,1814
2021-01-07,1732
2021-01-08,1691
2021-01-09,1646
2021-01-10,1612
2021-01-11,1562
2021-01-12,1501
2021-01-13,1483
2021-01-14,1429
2021-01-15,1384
2021-01-16,1349
2021-01-17,1301
2021-01-18,1242
2021-01-19,1188
2021-01-20,1122
2021-01-21,1103
2021-01-22,1065
2021-01-23,1043
2021-01-24,1036
2021-01-25,1005
2021-01-26,988
2021-01-27,961
2021-01-28,931
2021-01-29,928
2021-01-30,919
2021-01-31,897
2021-02-01,881
2021-02-02,840
2021-02-03,827
2021-02-04,819
2021-02-05,814
2021-02-06,789
2021-02-07,792
2021-02-08,787
2021-02-09,809
2021-02-10,807
2021-02-11,812
2021-02-12,811
2021-02-13,828
2021-02-14,818
2021-02-15,793
2021-02-16,763
2021-02-17,745
2021-02-18,709
2021-02-19,657
2021-02-20,622
2021-02-21,595
2021-02-22,561
2021-02-23,536
2021-02-24,506
2021-02-25,496
2021-02-26,488
2021-02-27,497
2021-02-28,498
2021-03-01,504
2021-03-02,523
2021-03-03,541
2021-03-04,556
2021-03-05,573
2021-03-06,572
2021-03-07,573
2021-03-08,588
2021-03-09,576
2021-03-10,573
2021-03-11,557
2021-03-12,551
2021-03-13,550
2021-03-14,553
2021-03-15,552
2021-03-16,557
2021-03-17,548
2021-03-18,551
2021-03-19,542
2021-03-20,532
2021-03-21,517
2021-03-22,493
2021-03-23,463
2021-03-24,442
2021-03-25,420
2021-03-26,401
2021-03-27,386
2021-03-28,371
2021-03-29,339
2021-03-30,333
2021-03-31,317
2021-04-01,298
2021-04-02,287
2021-04-03,279
2021-04-04,273
2021-04-05,268
2021-04-06,254
2021-04-07,244
2021-04-08,232
2021-04-09,226
2021-04-10,222
2021-04-11,217
2021-04-12,218
2021-04-13,215
2021-04-14,218
2021-04-15,223
2021-04-16,218
2021-04-17,210
2021-04-18,201
2021-04-19,191
2021-04-20,185
2021-04-21,179
2021-04-22,171
2021-04-23,169
2021-04-24,166
2021-04-25,168
2021-04-26,163
2021-04-27,164
2021-04-28,167
2021-04-29,174
2021-04-30,178
2021-05-01,186
2021-05-02,199
2021-05-03,222
2021-05-04,235
2021-05-05,245
2021-05-06,259
2021-05-07,272
2021-05-08,278
2021-05-09,281
2021-05-10,286
2021-05-11,305
2021-05-12,321
2021-05-13,331
2021-05-14,341
2021-05-15,350
2021-05-16,363
2021-05-17,382
2021-05-18,394
2021-05-19,426
2021-05-20,450
2021-05-21,477
2021-05-22,497
2021-05-23,521
2021-05-24,539
2021-05-25,580
2021-05-26,628
2021-05-27,685
2021-05-28,724
2021-05-29,749
2021-05-30,776
2021-05-31,823
2021-06-01,856
2021-06-02,870
2021-06-03,883
2021-06-04,889
2021-06-05,903
2021-06-06,928
2021-06-07,954
2021-06-08,991
2021-06-09,1021
2021-06-10,1038
2021-06-11,1090
2021-06-12,1132
2021-06-13,1232
2021-06-14,1503
2021-06-15,1782
2021-06-16,2015
2021-06-17,2271
2021-06-18,2470
2021-06-19,2656
2021-06-20,2793
2021-06-21,2920
2021-06-22,3012
2021-06-23,3158
2021-06-24,3227
2021-06-25,3292
2021-06-26,3322
2021-06-27,3307
2021-06-28,3230
2021-06-29,3116
2021-06-30,2972
