Date,Council,Vaccinations_per_LA
2021-01-05,Aberdeen City,67
2021-01-05,Aberdeenshire,65
2021-01-05,Angus,61
2021-01-05,Argyll and Bute,16
2021-01-05,City of Edinburgh,597
2021-01-05,Clackmannanshire,62
2021-01-05,Dumfries and Galloway,57
2021-01-05,Dundee City,151
2021-01-05,East Ayrshire,100
2021-01-05,East Dunbartonshire,58
2021-01-05,East Lothian,109
2021-01-05,East Renfrewshire,58
2021-01-05,Falkirk,237
2021-01-05,Fife,258
2021-01-05,Glasgow City,259
2021-01-05,Highland,52
2021-01-05,Inverclyde,20
2021-01-05,Midlothian,147
2021-01-05,Moray,5
2021-01-05,Na h-Eileanan Siar,26
2021-01-05,North Ayrshire,82
2021-01-05,North Lanarkshire,160
2021-01-05,Orkney Islands,32
2021-01-05,Perth and Kinross,87
2021-01-05,Renfrewshire,98
2021-01-05,Scottish Borders,50
2021-01-05,Shetland Islands,3
2021-01-05,South Ayrshire,82
2021-01-05,South Lanarkshire,133
2021-01-05,Stirling,117
2021-01-05,West Dunbartonshire,35
2021-01-05,West Lothian,258
2021-01-06,Aberdeen City,199
2021-01-06,Aberdeenshire,206
2021-01-06,Angus,130
2021-01-06,Argyll and Bute,55
2021-01-06,City of Edinburgh,1205
2021-01-06,Clackmannanshire,145
2021-01-06,Dumfries and Galloway,153
2021-01-06,Dundee City,324
2021-01-06,East Ayrshire,208
2021-01-06,East Dunbartonshire,134
2021-01-06,East Lothian,217
2021-01-06,East Renfrewshire,141
2021-01-06,Falkirk,468
2021-01-06,Fife,586
2021-01-06,Glasgow City,597
2021-01-06,Highland,136
2021-01-06,Inverclyde,44
2021-01-06,Midlothian,290
2021-01-06,Moray,27
2021-01-06,Na h-Eileanan Siar,67
2021-01-06,North Ayrshire,177
2021-01-06,North Lanarkshire,382
2021-01-06,Orkney Islands,68
2021-01-06,Perth and Kinross,189
2021-01-06,Renfrewshire,248
2021-01-06,Scottish Borders,99
2021-01-06,Shetland Islands,7
2021-01-06,South Ayrshire,186
2021-01-06,South Lanarkshire,344
2021-01-06,Stirling,230
2021-01-06,West Dunbartonshire,80
2021-01-06,West Lothian,517
2021-01-07,Aberdeen City,388
2021-01-07,Aberdeenshire,405
2021-01-07,Angus,203
2021-01-07,Argyll and Bute,121
2021-01-07,City of Edinburgh,1772
2021-01-07,Clackmannanshire,222
2021-01-07,Dumfries and Galloway,289
2021-01-07,Dundee City,499
2021-01-07,East Ayrshire,320
2021-01-07,East Dunbartonshire,229
2021-01-07,East Lothian,326
2021-01-07,East Renfrewshire,241
2021-01-07,Falkirk,670
2021-01-07,Fife,933
2021-01-07,Glasgow City,1017
2021-01-07,Highland,243
2021-01-07,Inverclyde,95
2021-01-07,Midlothian,426
2021-01-07,Moray,64
2021-01-07,Na h-Eileanan Siar,123
2021-01-07,North Ayrshire,276
2021-01-07,North Lanarkshire,682
2021-01-07,Orkney Islands,106
2021-01-07,Perth and Kinross,308
2021-01-07,Renfrewshire,412
2021-01-07,Scottish Borders,137
2021-01-07,Shetland Islands,13
2021-01-07,South Ayrshire,304
2021-01-07,South Lanarkshire,589
2021-01-07,Stirling,337
2021-01-07,West Dunbartonshire,151
2021-01-07,West Lothian,748
2021-01-08,Aberdeen City,623
2021-01-08,Aberdeenshire,660
2021-01-08,Angus,270
2021-01-08,Argyll and Bute,230
2021-01-08,City of Edinburgh,2291
2021-01-08,Clackmannanshire,286
2021-01-08,Dumfries and Galloway,467
2021-01-08,Dundee City,663
2021-01-08,East Ayrshire,427
2021-01-08,East Dunbartonshire,337
2021-01-08,East Lothian,447
2021-01-08,East Renfrewshire,347
2021-01-08,Falkirk,835
2021-01-08,Fife,1283
2021-01-08,Glasgow City,1452
2021-01-08,Highland,382
2021-01-08,Inverclyde,175
2021-01-08,Midlothian,538
2021-01-08,Moray,130
2021-01-08,Na h-Eileanan Siar,189
2021-01-08,North Ayrshire,378
2021-01-08,North Lanarkshire,1031
2021-01-08,Orkney Islands,139
2021-01-08,Perth and Kinross,417
2021-01-08,Renfrewshire,575
2021-01-08,Scottish Borders,195
2021-01-08,Shetland Islands,25
2021-01-08,South Ayrshire,424
2021-01-08,South Lanarkshire,893
2021-01-08,Stirling,418
2021-01-08,West Dunbartonshire,252
2021-01-08,West Lothian,962
2021-01-09,Aberdeen City,891
2021-01-09,Aberdeenshire,1042
2021-01-09,Angus,329
2021-01-09,Argyll and Bute,372
2021-01-09,City of Edinburgh,2788
2021-01-09,Clackmannanshire,347
2021-01-09,Dumfries and Galloway,682
2021-01-09,Dundee City,805
2021-01-09,East Ayrshire,524
2021-01-09,East Dunbartonshire,474
2021-01-09,East Lothian,560
2021-01-09,East Renfrewshire,459
2021-01-09,Falkirk,1014
2021-01-09,Fife,1646
2021-01-09,Glasgow City,1920
2021-01-09,Highland,532
2021-01-09,Inverclyde,267
2021-01-09,Midlothian,650
2021-01-09,Moray,227
2021-01-09,Na h-Eileanan Siar,261
2021-01-09,North Ayrshire,474
2021-01-09,North Lanarkshire,1402
2021-01-09,Orkney Islands,173
2021-01-09,Perth and Kinross,541
2021-01-09,Renfrewshire,741
2021-01-09,Scottish Borders,292
2021-01-09,Shetland Islands,43
2021-01-09,South Ayrshire,536
2021-01-09,South Lanarkshire,1248
2021-01-09,Stirling,497
2021-01-09,West Dunbartonshire,395
2021-01-09,West Lothian,1152
2021-01-10,Aberdeen City,1160
2021-01-10,Aberdeenshire,1450
